CaseFileReportId,Description,Amount,TransactionCategoryId,
22208,Kwik Trip,44.25,197,
22208,Kwik Trip,27.16,197,
22208,Kwik Trip,26.56,197,
22208,Kwik Trip,10.84,197,
22208,Kwik Trip,7.36,197,
22208,Kwik Trip,25.23,197,
22208,Sunshine Foods ,23.42,197,
22208,Sunshine Foods ,17.98,197,
22208,Sunshine Foods ,19.68,197,
22208,Sunshine Foods ,7.23,197,
22208,Sunshine Foods,15.75,197,
22208,Sunshine Foods ,25.36,197,
22208,Erdmanns,135.31,197,
17477,Transfer From,500,176,
22208,Erdmanns,17.44,197,
17477,Transfer From,50,176,
22208,Erdmanns,2.87,197,
17477,Nan's,170,221,
22208,Erdmanns,63.65,197,
17477,NHSU,35,210,
22208,Erdmanns,22.39,197,
17477,Pat Readmond,53,196,
17477,Nan's,30,221,
17477,Pat Readmond,82.05,193,
17477,Pat Readmond,900,239,
22208,Kwik Trip,20.27,197,
17477,Bloomington Drug,57.07,240,
22208,Kwik Trip,27.44,197,
17477,Noran Clinic,20,210,
22208,Kwik Trip,3.74,197,
17477,Nan's,30,221,
17477,Nan's,30,221,
17477,Bloomington Drug,24.49,240,
22208,Kwik Trip,2.99,197,
17477,NHSU,35,210,
17477,Nan's,30,221,
22208,Kwik Trip,7.44,197,
17477,Nan's,30,221,
22208,Kwik Trip,11.58,197,
22208,Kwik Trip,3.03,197,
22208,Kwik Trip,2.23,197,
17477,Cub,15.62,197,
22208,Kwik Trip,0.89,197,
17477,Target,58.97,214,
22208,Kwik Trip,1.69,197,
17477,UCare Minnesota,187,206,
17477,ATM Withdrawal,60,214,
22208,Greenway,2.98,197,
17477,Assistive Technology,14.99,212,
22208,Greenway,11.32,197,
16732,DBT MN DHS FEE,46,213,
22208,Greenway,7.54,197,
16732,DBT MN DHS FEE,46,213,
22208,Greenway,9.73,197,
16732,Acentek   OCT 2015,78.19,233,
22208,HyVee,16.41,197,
16732,DR. PETRA ZEHRAN,96.99,209,
16732,PROTECTIVE LIFE INS,141.4,207,
22208,HyVee,4.88,197,
16732,LA CRESCENT INSURANCE,136,207,
22208,Aldi,9.73,197,
16732,Kathie Rogich OCT 2015 GF,77,193,
22208,Aldi,25.52,197,
16732,PROGRESSIVE CAR INS  SEP 2015,41.98,204,
22208,Aldi,43.85,197,
16732,Acentek  SEP 2015,45.01,233,
16732,CRESTVIEW APTS  SEP 2015 RENT,46,239,
17477,Transfer From,40,176,
22208,Aldi,45.39,197,
16732,Bank of the West  OCT 2015  fee,3,183,
22208,Byron Market Place,41.79,197,
16732,Xcel Energy  OCT 2015,41.49,232,
22208,Byron Market Place,66.07,197,
16732,ROGAN'S SHOES,77,214,
22208,Byron Marketplace,1.49,197,
16732,CHARTERS    OCT 2015,49.31,233,
22208,Sunshine Foods,11.36,197,
22208,Sunshine Foods ,16.14,197,
22208,Houstons,1.6,199,
22208,Earthbound Trading  Company,8.54,199,
16732,CHARTERS ??,106.81,233,
22208,ABC & Toy Zone,43.04,199,
16939,Patricia Healey,120,189,
22208,Hardware Hank,17.38,199,
16732,DBT MN DHS FEE,46,213,
22208,Kasson Variety,18.44,199,
16939,Larry Nord,350,191,
17477,Judith Schaudt,100,199,
22208,Kasson Variety,1.29,199,
17477,Bloomington Drug,12.5,240,
17477,Hallmark,87.11,199,
17477,NHSU,35,210,
16732,Kathie Rogich SEP 2015 GF,77,193,
17477,Bloomington Drug,94.57,240,
16732,ANN CONRAD PN  SEP  2015,180,214,
16939,Grandma's resteraunt,21.93,196,
17477,Pat Readmond,82.05,193,
17477,Pat Readmond,900,239,
16732,ANN CONRAD  RENTERS REBATE,355,214,
17477,Nan's,30,221,
